order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,shipping_days,returned,order_value
O2025072,2025-05-24,C1238,small business,returning,west,goteborg,beauty,skincare,invoice,email,1,74.4,0.109,3,No,66.2904
O2025074,2025-04-23,C1130,consumer,vip,south,lund,fashion,sportswear,swish,organic,2,75.82,0.101,3,No,136.32435999999998
O2025075,2025-05-25,C1087,consumer,returning,west,halmstad,sports,team sports,invoice,email,2,166.61,0.208,5,Yes,263.91024000000004
O2025076,2025-08-07,C1107,consumer,vip,south,malmo,home,decor,card,direct,1,45.05,0.109,3,No,40.13955
O2025077,2025-10-15,C1076,consumer,new,north,uppsala,electronics,headphones,invoice,paid search,1,118.48,0.038,4,No,113.97776
O2025079,2025-01-19,C1106,consumer,returning,north,stockholm,home,lighting,invoice,social,1,103.6,0,4,No,103.6
O2025080,2025-02-14,C1116,consumer,returning,north,uppsala,electronics,mobile,card,paid search,2,146.91,0.019,3,No,288.23742
O2025081,2025-11-21,C1214,corporate,returning,south,lund,electronics,laptop,gift card,organic,1,750.58,0.085,4,No,686.7807
O2025082,2025-09-26,C1150,consumer,vip,east,norrkoping,fashion,jackets,card,social,1,159.28,0.166,2,No,132.83952
O2025083,2025-11-18,C1109,small business,returning,south,helsingborg,electronics,tablet,swish,email,1,620.92,0.054,3,No,587.39032
O2025084,2025-03-17,C1079,consumer,vip,east,linkoping,sports,cycling,invoice,email,1,566.87,0.205,7,No,450.66165
O2025085,2025-11-29,C1240,consumer,returning,south,lund,sports,fitness,card,paid search,2,155.43,0.009,5,No,308.06226000000004
O2025087,2025-07-19,C1166,consumer,new,south,helsingborg,electronics,headphones,invoice,direct,1,33.82,0.089,6,No,30.81002
O2025088,2025-08-03,C1047,consumer,returning,east,norrkoping,electronics,headphones,card,social,1,161.95,0.027,4,No,157.57735
O2025089,2025-01-01,C1251,small business,returning,west,boras,home,furniture,card,social,1,659.88,0.059,4,No,620.94708
O2025090,2025-06-29,C1220,consumer,returning,west,halmstad,home,decor,gift card,paid search,1,89.25,0.117,5,No,78.80775
O2025091,2025-04-15,C1187,consumer,returning,north,vasteras,electronics,tablet,card,email,1,426.85,0.194,2,No,344.04110000000003
O2025092,2025-08-01,C1207,consumer,new,north,stockholm,home,decor,card,social,1,87.2,0.099,3,No,78.5672
O2025094,2025-04-04,C1170,consumer,returning,west,halmstad,electronics,mobile,card,affiliate,1,399.76,0.016,5,No,393.36384
O2025095,2025-01-21,C1099,consumer,returning,north,vasteras,beauty,skincare,invoice,direct,1,51.24,0.049,4,No,48.72924
O2025096,2025-02-21,C1188,small business,returning,north,uppsala,beauty,fragrance,card,email,1,121.41,0.143,5,No,104.04836999999999
O2025097,2025-06-30,C1093,small business,returning,west,boras,fashion,shoes,swish,affiliate,1,116.99,0.161,2,No,98.15460999999999
O2025098,2025-09-11,C1063,consumer,returning,north,uppsala,home,kitchen,card,direct,1,76.97,0.064,4,No,72.04392
O2025100,2025-08-21,C1148,consumer,returning,east,norrkoping,sports,cycling,invoice,paid search,2,295.7,0.01,3,No,585.486
O2025102,2025-10-14,C1062,consumer,vip,south,helsingborg,beauty,skincare,card,organic,2,15.75,0.082,2,No,28.917
O2025103,2025-04-05,C1107,consumer,vip,south,malmo,home,kitchen,paypal,paid search,1,93.84,0.165,3,No,78.3564
O2025104,2025-03-11,C1030,small business,returning,north,stockholm,fashion,jackets,card,organic,1,133.28,0.036,2,No,128.48192
O2025106,2025-04-29,C1102,small business,returning,west,goteborg,home,lighting,card,paid search,1,145.51,0.03,3,No,141.1447
O2025107,2025-07-13,C1216,consumer,vip,west,halmstad,sports,team sports,gift card,direct,2,92.25,0.097,2,No,166.6035
O2025108,2025-04-14,C1139,consumer,returning,west,boras,beauty,skincare,card,affiliate,1,35,0.024,6,No,34.16
O2025109,2025-01-07,C1034,small business,returning,east,orebro,fashion,jackets,invoice,direct,1,199.09,0.008,4,No,197.49728
O2025110,2025-09-23,C1223,corporate,returning,west,goteborg,home,kitchen,card,direct,1,100.88,0.066,4,No,94.22191999999998
O2025111,2025-11-09,C1146,corporate,new,north,uppsala,electronics,mobile,card,email,1,455.35,0.215,2,No,357.44975000000005
O2025112,2025-02-06,C1221,consumer,returning,west,halmstad,electronics,mobile,card,paid search,1,512.02,0.213,4,No,402.95974
O2025113,2025-11-25,C1235,small business,returning,north,stockholm,sports,team sports,card,email,2,51.59,0.123,2,No,90.48886
O2025114,2025-06-14,C1159,consumer,returning,east,norrkoping,electronics,laptop,card,email,1,605.56,0.066,3,No,565.5930399999999
O2025115,2025-06-02,C1100,small business,new,west,goteborg,home,kitchen,gift card,social,1,73.85,0.071,4,No,68.60665
O2025116,2025-02-02,C1242,small business,new,east,linkoping,sports,outdoor,swish,paid search,2,199.23,0.109,5,No,355.02786
O2025119,2025-12-01,C1110,corporate,returning,east,norrkoping,fashion,shoes,card,organic,1,109.02,0.019,5,No,106.94861999999999
O2025120,2025-06-02,C1250,corporate,returning,north,uppsala,sports,outdoor,invoice,organic,3,134.08,0.074,3,No,372.47424
O2025121,2025-04-26,C1068,consumer,new,east,linkoping,electronics,laptop,swish,paid search,1,926.43,0.052,5,No,878.2556399999999
O2025122,2025-07-25,C1018,small business,returning,west,goteborg,beauty,haircare,invoice,email,2,42.21,0.141,2,No,72.51678
O2025123,2025-09-18,C1027,small business,returning,north,stockholm,fashion,jackets,card,organic,1,200.25,0,2,No,200.25
O2025125,2025-02-07,C1088,consumer,new,south,malmo,electronics,tablet,card,organic,1,552.43,0.12,5,No,486.13839999999993
O2025126,2025-12-13,C1217,small business,new,north,uppsala,home,furniture,invoice,email,1,341.61,0.087,3,No,311.88993000000005
O2025127,2025-12-31,C1200,consumer,returning,north,uppsala,fashion,jackets,card,affiliate,1,147.19,0.074,4,No,136.29794
O2025128,2025-12-19,C1208,consumer,returning,north,stockholm,fashion,jackets,swish,paid search,1,170.56,0,3,No,170.56
O2025129,2025-06-12,C1196,consumer,vip,west,boras,beauty,skincare,swish,direct,1,65.43,0.144,2,No,56.00808000000001
O2025130,2025-01-14,C1183,small business,new,north,vasteras,electronics,headphones,card,organic,2,174.59,0.089,2,No,318.10298
O2025131,2025-03-20,C1079,consumer,vip,east,linkoping,electronics,mobile,gift card,social,1,413.44,0.116,5,No,365.48096
O2025132,2025-09-23,C1226,consumer,returning,north,vasteras,fashion,jackets,gift card,direct,1,224.23,0.009,3,No,222.21193
O2025133,2025-10-06,C1091,corporate,vip,south,malmo,electronics,mobile,card,organic,1,365.34,0.152,5,No,309.80832
O2025134,2025-10-06,C1103,consumer,new,north,vasteras,electronics,tablet,card,paid search,1,272.22,0.125,4,No,238.19250000000002
O2025135,2025-02-04,C1179,consumer,returning,east,orebro,home,decor,swish,organic,1,96.17,0.023,7,Yes,93.95809
O2025136,2025-07-27,C1257,consumer,returning,north,uppsala,electronics,tablet,card,affiliate,1,481.37,0.074,4,No,445.74862
O2025137,2025-11-20,C1127,small business,vip,west,goteborg,beauty,makeup,paypal,paid search,2,52.19,0.145,4,No,89.2449
O2025138,2025-02-24,C1215,consumer,returning,north,stockholm,fashion,jackets,card,email,1,232.89,0,3,No,232.89
O2025139,2025-03-19,C1156,consumer,new,west,goteborg,sports,team sports,card,organic,1,102.82,0.043,7,Yes,98.39873999999999
O2025140,2025-11-06,C1087,consumer,returning,west,halmstad,sports,team sports,card,direct,1,119.35,0.012,5,No,117.9178
O2025141,2025-05-12,C1159,consumer,returning,south,malmo,sports,cycling,invoice,organic,2,442.96,0.053,5,No,838.96624
O2025142,2025-07-16,C1177,small business,returning,east,linkoping,home,furniture,invoice,organic,1,1075.62,0.005,6,Yes,1070.2419
O2025143,2025-07-16,C1025,consumer,returning,north,uppsala,electronics,mobile,swish,organic,2,127.29,0.042,3,No,243.88764
O2025144,2025-11-22,C1186,corporate,returning,north,uppsala,home,lighting,card,social,2,79.56,0.038,1,No,153.07344
O2025145,2025-09-12,C1001,consumer,vip,west,halmstad,fashion,shoes,invoice,email,1,94.53,0.149,3,No,80.44503
O2025146,2025-03-11,C1166,consumer,new,south,helsingborg,fashion,sportswear,invoice,email,1,43.87,0,3,Yes,43.87
O2025147,2025-07-16,C1103,consumer,new,north,vasteras,sports,cycling,card,paid search,2,951.35,0.101,1,No,1710.5273
O2025148,2025-05-16,C1135,consumer,returning,north,stockholm,electronics,tablet,invoice,direct,1,844.96,0.113,1,No,749.4795200000001
O2025149,2025-02-22,C1009,consumer,returning,south,helsingborg,sports,team sports,card,email,2,65.51,0.092,4,No,118.96616000000002
O2025150,2025-12-28,C1143,corporate,vip,south,helsingborg,sports,cycling,swish,direct,1,588.38,0.093,3,No,533.66066
O2025151,2025-07-01,C1171,small business,returning,west,halmstad,fashion,sportswear,card,organic,1,73.07,0,1,No,73.07
O2025152,2025-01-08,C1058,consumer,new,north,stockholm,electronics,laptop,paypal,social,1,1265.49,0.023,4,No,1236.38373
O2025153,2025-03-01,C1246,small business,returning,west,boras,fashion,sportswear,gift card,organic,1,111.34,0.005,3,No,110.7833
O2025154,2025-05-01,C1003,corporate,returning,east,norrkoping,fashion,shoes,card,direct,1,109.92,0.071,3,No,102.11568000000001
O2025155,2025-06-09,C1063,consumer,returning,east,linkoping,beauty,makeup,card,organic,1,66.48,0.08,5,No,61.16160000000001
O2025156,2025-08-13,C1176,small business,returning,north,stockholm,fashion,accessories,swish,organic,1,35.98,0.072,3,No,33.38944
O2025157,2025-08-09,C1166,consumer,new,south,helsingborg,fashion,sportswear,card,affiliate,1,83.97,0.133,3,No,72.80199
O2025158,2025-05-10,C1019,consumer,new,south,lund,electronics,headphones,card,paid search,1,147.48,0.082,4,No,135.38664
O2025159,2025-06-12,C1224,corporate,returning,east,linkoping,beauty,skincare,gift card,direct,1,66.06,0.056,4,No,62.36064
O2025160,2025-09-15,C1195,consumer,returning,north,uppsala,home,decor,swish,direct,1,43.02,0,5,No,43.02
O2025161,2025-02-19,C1128,consumer,returning,north,stockholm,beauty,haircare,card,direct,3,35.55,0.085,2,No,97.58475
O2025163,2025-03-30,C1120,small business,new,north,stockholm,beauty,makeup,paypal,paid search,2,46.7,0.12,3,No,82.19200000000001
O2025164,2025-03-14,C1239,corporate,returning,south,helsingborg,beauty,fragrance,swish,affiliate,4,89.28,0.051,5,No,338.90688
O2025165,2025-05-30,C1147,consumer,returning,west,boras,home,kitchen,invoice,organic,1,128.19,0,4,Yes,128.19
O2025166,2025-11-03,C1192,corporate,returning,west,goteborg,fashion,accessories,invoice,paid search,1,39.12,0.07,4,No,36.38159999999999
O2025168,2025-11-08,C1126,consumer,returning,north,stockholm,home,decor,card,direct,2,113.51,0.088,4,No,207.04224000000002
O2025170,2025-05-22,C1208,consumer,returning,north,stockholm,home,lighting,invoice,organic,1,224.33,0.017,4,No,220.51639
O2025171,2025-07-08,C1133,small business,vip,north,vasteras,home,decor,card,affiliate,1,49.28,0.1,4,Yes,44.352000000000004
O2025172,2025-05-30,C1183,small business,new,north,vasteras,home,kitchen,invoice,organic,1,139.41,0.103,5,Yes,125.05077
O2025174,2025-05-12,C1138,consumer,new,south,lund,beauty,fragrance,swish,social,2,111.58,0.046,4,No,212.89463999999998
O2025177,2025-03-22,C1091,corporate,vip,south,malmo,sports,fitness,swish,email,1,167.62,0.057,2,No,158.06566
O2025180,2025-09-24,C1123,small business,returning,east,orebro,fashion,accessories,swish,email,1,54.58,0.152,3,No,46.28384
O2025182,2025-10-24,C1247,corporate,returning,west,goteborg,home,decor,card,paid search,1,73.4,0.145,4,No,62.757000000000005
O2025183,2025-11-20,C1060,small business,returning,west,halmstad,home,kitchen,swish,email,1,102.02,0.053,4,No,96.61294
O2025184,2025-03-14,C1194,consumer,new,north,uppsala,home,decor,card,email,1,68.91,0.152,3,No,58.43568
O2025185,2025-07-11,C1058,consumer,new,north,stockholm,fashion,shoes,card,organic,1,61.84,0.023,2,Yes,60.417680000000004
O2025186,2025-02-15,C1042,consumer,returning,north,uppsala,fashion,jackets,gift card,organic,1,92.96,0,3,No,92.96
O2025187,2025-05-01,C1229,corporate,returning,north,stockholm,fashion,sportswear,card,direct,4,64.37,0,3,No,257.48
O2025188,2025-06-09,C1242,small business,new,east,linkoping,beauty,makeup,paypal,organic,2,64.44,0.013,3,No,127.20456
O2025190,2025-11-15,C1041,consumer,returning,south,lund,electronics,mobile,swish,email,1,325.99,0.025,5,No,317.84025
O2025191,2025-08-04,C1186,corporate,returning,north,uppsala,fashion,sportswear,card,organic,1,59.94,0,1,No,59.94
O2025192,2025-12-28,C1043,corporate,new,west,halmstad,home,furniture,card,direct,2,1000.98,0.06,5,No,1881.8424
O2025193,2025-04-29,C1206,consumer,new,east,orebro,electronics,headphones,card,direct,1,140.21,0.079,5,No,129.13341000000003
O2025195,2025-03-08,C1176,small business,returning,north,stockholm,beauty,haircare,invoice,organic,1,39.29,0.113,1,Yes,34.850229999999996
O2025196,2025-12-18,C1142,small business,returning,south,helsingborg,fashion,accessories,invoice,paid search,2,58.48,0.002,3,No,116.72608
O2025197,2025-10-16,C1222,consumer,returning,east,linkoping,beauty,fragrance,card,social,1,12.25,0.024,3,No,11.956
O2025198,2025-05-02,C1020,consumer,returning,east,linkoping,home,kitchen,swish,email,2,184,0.17,4,No,305.44
O2025199,2025-11-21,C1113,small business,returning,south,lund,sports,fitness,card,email,1,158.55,0.111,6,No,140.95095
O2025200,2025-08-22,C1098,small business,returning,west,halmstad,electronics,laptop,invoice,social,1,1452.48,0.039,5,No,1395.83328
O2025202,2025-10-29,C1168,consumer,new,east,orebro,fashion,sportswear,card,organic,1,95.89,0.095,5,No,86.78045
O2025204,2025-07-16,C1188,small business,returning,north,uppsala,beauty,haircare,card,email,1,47.72,0.242,2,No,36.17176
O2025206,2025-02-17,C1121,small business,returning,north,stockholm,home,kitchen,gift card,organic,1,149.43,0.051,4,No,141.80907
O2025207,2025-07-31,C1086,consumer,returning,south,helsingborg,electronics,mobile,swish,social,1,408.49,0.09,4,No,371.7259
O2025208,2025-12-09,C1198,consumer,vip,south,helsingborg,home,decor,card,email,1,98.07,0.17,4,No,81.39809999999999
O2025210,2025-06-05,C1018,small business,returning,west,goteborg,home,lighting,swish,organic,1,263.84,0.048,2,No,251.17567999999997
O2025211,2025-02-23,C1223,corporate,returning,west,goteborg,electronics,mobile,card,organic,1,545.76,0.049,3,No,519.01776
O2025212,2025-08-07,C1121,small business,returning,north,stockholm,beauty,makeup,swish,social,1,62.54,0.077,2,No,57.72442
O2025213,2025-10-20,C1157,consumer,new,north,uppsala,sports,fitness,paypal,organic,4,158.72,0.082,3,No,582.81984
O2025214,2025-09-17,C1162,consumer,returning,south,helsingborg,fashion,sportswear,swish,organic,1,96.58,0.071,4,No,89.72282
O2025215,2025-04-17,C1050,consumer,returning,west,boras,fashion,accessories,card,organic,1,55.31,0.062,3,No,51.88078
O2025216,2025-10-24,C1238,small business,returning,west,goteborg,beauty,fragrance,card,organic,1,63.03,0.091,5,No,57.294270000000004
O2025217,2025-06-02,C1253,consumer,new,north,uppsala,sports,cycling,card,email,1,634.49,0.122,4,No,557.08222
O2025218,2025-04-16,C1180,corporate,returning,north,stockholm,sports,team sports,card,paid search,1,90.98,0.204,2,Yes,72.42008000000001
O2025219,2025-09-05,C1133,small business,vip,north,vasteras,beauty,skincare,paypal,email,1,67.18,0.076,2,No,62.07432000000001
O2025221,2025-10-20,C1071,consumer,returning,east,norrkoping,home,lighting,swish,organic,1,194.5,0.011,5,No,192.3605
O2025222,2025-01-24,C1059,small business,new,south,malmo,sports,outdoor,swish,paid search,1,264.1,0.121,3,No,232.14390000000003
O2025224,2025-01-12,C1163,corporate,returning,west,boras,electronics,mobile,invoice,paid search,1,261.97,0.12,6,No,230.53360000000004
O2025226,2025-03-17,C1006,consumer,vip,east,orebro,electronics,mobile,card,social,2,485.5,0.165,3,Yes,810.785
O2025227,2025-12-07,C1025,consumer,returning,north,uppsala,electronics,mobile,invoice,affiliate,1,460.43,0.152,4,No,390.44464
O2025228,2025-11-20,C1131,small business,returning,north,vasteras,beauty,makeup,card,email,1,38.29,0.08,3,No,35.2268
O2025229,2025-04-11,C1234,consumer,new,west,goteborg,beauty,haircare,swish,paid search,1,8,0.029,5,No,7.768
O2025230,2025-05-01,C1102,small business,returning,north,vasteras,home,furniture,invoice,paid search,1,581.41,0.108,3,No,518.61772
O2025231,2025-03-07,C1090,consumer,returning,west,goteborg,fashion,shoes,card,social,1,74,0.02,4,Yes,72.52
O2025232,2025-04-25,C1225,small business,returning,north,stockholm,fashion,sportswear,card,direct,1,94.24,0.078,4,No,86.88928
O2025233,2025-06-26,C1239,corporate,returning,south,helsingborg,electronics,headphones,card,paid search,1,149.63,0.077,6,No,138.10849
O2025234,2025-09-08,C1168,consumer,new,east,orebro,beauty,skincare,swish,social,1,26.09,0.071,5,No,24.23761
O2025235,2025-07-01,C1235,small business,returning,north,stockholm,sports,outdoor,swish,organic,1,187.57,0.042,2,Yes,179.69206
O2025236,2025-07-08,C1123,small business,returning,east,orebro,fashion,jackets,paypal,affiliate,2,208.21,0.012,4,No,411.42296
O2025237,2025-05-07,C1040,consumer,returning,east,linkoping,electronics,tablet,invoice,paid search,2,665.59,0,4,No,1331.18
O2025238,2025-11-17,C1257,consumer,returning,north,uppsala,electronics,laptop,card,organic,1,1153.88,0,3,No,1153.88
O2025239,2025-01-08,C1176,small business,returning,north,stockholm,home,lighting,card,organic,1,130.81,0.065,4,No,122.30735000000001
O2025240,2025-10-27,C1051,small business,vip,west,halmstad,fashion,jackets,swish,social,1,191.31,0.043,3,No,183.08366999999998
O2025241,2025-10-16,C1206,consumer,new,east,orebro,fashion,sportswear,card,paid search,1,106.83,0,3,No,106.83
O2025242,2025-04-18,C1146,corporate,new,north,uppsala,sports,fitness,swish,social,1,296.77,0.107,3,No,265.01561
O2025243,2025-11-02,C1076,consumer,new,east,norrkoping,fashion,jackets,card,social,2,114.71,0.078,4,No,211.52524
O2025244,2025-02-17,C1100,small business,new,west,goteborg,sports,fitness,swish,affiliate,1,465.16,0.132,6,No,403.75888000000003
O2025245,2025-02-15,C1256,consumer,new,north,uppsala,beauty,fragrance,swish,paid search,1,90.63,0.056,5,Yes,85.55471999999999
O2025246,2025-10-03,C1154,corporate,vip,west,goteborg,fashion,jackets,invoice,affiliate,1,153.55,0.093,3,No,139.26985000000002
O2025247,2025-01-02,C1042,consumer,returning,north,uppsala,sports,cycling,paypal,email,1,727.26,0.146,3,No,621.0800399999999
O2025248,2025-03-25,C1035,consumer,new,south,malmo,fashion,jackets,paypal,affiliate,4,238.12,0.156,2,No,803.89312
O2025249,2025-04-13,C1076,consumer,new,north,uppsala,fashion,accessories,invoice,social,1,41.66,0.02,4,No,40.8268
O2025250,2025-12-04,C1083,consumer,vip,north,vasteras,fashion,sportswear,card,social,2,97.43,0.059,2,No,183.36326000000003
O2025251,2025-08-07,C1100,small business,new,west,goteborg,home,decor,card,affiliate,1,79.21,0.179,5,No,65.03141
O2025252,2025-09-30,C1257,consumer,returning,north,uppsala,sports,outdoor,swish,email,1,228.21,0.016,2,No,224.55864
O2025253,2025-07-27,C1226,consumer,returning,north,vasteras,beauty,skincare,card,paid search,1,53.92,0.034,3,No,52.08672
O2025254,2025-06-09,C1064,consumer,vip,north,uppsala,home,furniture,paypal,social,1,458.81,0.198,4,No,367.96562
O2025255,2025-05-09,C1041,consumer,returning,south,lund,beauty,haircare,swish,affiliate,1,45.36,0.121,3,No,39.87144
O2025256,2025-08-15,C1237,small business,returning,south,malmo,electronics,headphones,invoice,email,2,134.35,0.029,5,No,260.9077
